name,url,category,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,crystal class symbol,H-M symbol,color,cleavage,mohs,streak,gravity,luster,habit,varieties,summary
Natrolite,https://en.wikipedia.org/wiki/Natrolite,Tectosilicate,Na2Al2Si3O10·2H2O,Na<sub>2</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>·2H<sub>2</sub>O,Ntr,9.GA.05,Orthorhombic,Pyramidal,mm2,mm2,"White, colorless, sometimes pink",Perfect on {110},5-6,White,2.25,"Vitreous, Silky, Pearly",Acicular,,"Natrolite is a tectosilicate mineral species belonging to the zeolite group. It is a hydrated sodium and aluminium silicate with the formula Na2Al2Si3O10 · 2H2O.  The type locality is Hohentwiel, Hegau, Germany."
Natron,https://en.wikipedia.org/wiki/Natron,Carbonate mineral,Na2CO3·10H2O,Na<sub>2</sub>CO<sub>3</sub>·10H<sub>2</sub>O,Nt,5.CB.10,Monoclinic,Prismatic,2/m,2/m,,On {001} distinct; on {010} imperfect; on {110} in traces.,1 - 1.5,White,1.478,,"crystalline, granular, and columnar crusts",,"Natron is a naturally occurring mixture of sodium carbonate decahydrate (Na2CO3·10H2O, a kind of soda ash) and around 17% sodium bicarbonate (also called baking soda, NaHCO3) along with small quantities of sodium chloride and sodium sulfate. Natron is white to colourless when pure, varying to gray or yellow with impurities. Natron deposits are sometimes found in saline lake beds which arose in arid environments. Throughout history natron has had many practical applications that continue today in the wide range of modern uses of its constituent mineral components."
Natrophilite,https://en.wikipedia.org/wiki/Natrophilite,Phosphate mineral,NaMnPO4,NaMnPO<sub>4</sub>,Ntp,8.AB.10,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,Deep yellow to light yellow,Distinct/ good,4+1⁄2 - 5,White,3.41 g/cm3,"Sub-vitreous, greasy",,,Natrophilite is a mineral with the chemical formula NaMnPO4. In a pure form it has a yellow coloration. Its crystals are orthorhombic to dipyramidal. It is transparent to translucent. It is not radioactive. Natrophilite is rated 4.5 to 5 on the Mohs Scale.
Nekrasovite,https://en.wikipedia.org/wiki/Nekrasovite,,,,,,,,,,,,,,,,,,"Nekrasovite is a rare copper vanadium sulfosalt mineral with formula Cu26V2(Sn,As,Sb)6S32. It crystallizes in the isometric system and occurs as small grains in ore aggregates. It is a brown opaque metallic mineral with Mohs hardness of 4.5 and a specific gravity of 4.62."
Nelenite,https://en.wikipedia.org/wiki/Nelenite,Phyllosilicate,"(Mn,Fe)16As3Si12O36(OH)17 or(Mn,Fe)16(Si12O30)(OH)14[As3+3O6(OH)3]","(Mn,Fe)<sub>17</sub>",Nln,9.EE.15,Monoclinic,Prismatic,2/m,2/m,Light to medium brown,Perfect on {0001},5,Light brown,3.46,"Vitreous, resinous",Coarsely granular to massive,,"Nelenite is a rare manganese iron phyllosilicate arsenate mineral found in Franklin Furnace, New Jersey."
Nenadkevichite,https://en.wikipedia.org/wiki/Nenadkevichite,Cyclosilicate,"(Na,Ca)(Nb,Ti)Si2O7·2H2O","(Na,Ca)(Nb,Ti)Si<sub>7</sub>·2H<sub>2</sub>O",,9.CE.30a,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Rose-pink, very light pink, light yellow, brown; dark brown due to inclusions",Poor/ indistinct,5,"White, very light rose-pink",2.78 - 2.885 g/cm3,"Vitreous, dull",,,"Nenadkevichite is a rare silicate mineral containing niobium with the chemical formula (Na,Ca)(Nb,Ti)Si2O7·2H2O. It forms brown to yellow to rose colored orthorhombic dipyramidal crystals with a dull to earthy luster. It has a Mohs hardness of 5 and a specific gravity of 2.86."
Nepheline,https://en.wikipedia.org/wiki/Nepheline,"Tectosilicate, feldspathoid","(Na,K)AlSiO4","(Na,K)AlSiO<sub>4</sub>",Nph,9.FA.05,Hexagonal,Pyramidal,6,6,"White, gray, brown, brownish gray, or reddish white",[1010] Poor,6,White,2.55–2.65 (average: 2.59),Vitreous to greasy,Massive granular to prismatic,,"Nepheline, also called nephelite (from Ancient Greek  νεφέλη (nephélē) 'cloud'), is a rock-forming mineral in the feldspathoid group – a silica-undersaturated aluminosilicate, Na3KAl4Si4O16, that occurs in intrusive and volcanic rocks with low silica, and in their associated pegmatites. It is used in glass and ceramic manufacturing and other industries, and has been investigated as an ore of aluminium."
Népouite,https://en.wikipedia.org/wiki/N%C3%A9pouite,Phyllosilicates Kaolinite-serpentine group,Ni3(Si2O5)(OH)4,Ni<sub>4</sub>,Npo,9.ED.15,Orthorhombic,pyramidal,mm2,mm2,,perfect on {001},2 to 2+1⁄2,greenish white,3.18 to 3.24 (measured),"earthy to waxy, also pearly","generally massive, also fibrous and microscopic pseudohexagonal platy crystals",,"Népouite is a rare nickel silicate mineral which has the apple green colour typical of such compounds. It was named by the French mining engineer Edouard Glasser in 1907 after the place where it was first described (the type locality), the Népoui Mine, Népoui [fr], Poya Commune, North Province, New Caledonia. The ideal formula is Ni3(Si2O5)(OH)4, but most specimens contain some magnesium, and (Ni,Mg)3(Si2O5)(OH)4 is more realistic.  There is a similar mineral called lizardite (named after the Lizard Complex in Cornwall, England) in which all of the nickel is replaced by magnesium, formula Mg3(Si2O5)(OH)4.  These two minerals form a series; intermediate compositions are possible, with varying proportions of nickel to magnesium."
Neptunite,https://en.wikipedia.org/wiki/Neptunite,Phyllosilicate,"KNa2Li(Fe2+,Mn2+)2Ti2Si8O24","KNa<sub>2</sub>Li(Fe<sup>2+</sup>,Mn<sup>2+</sup>)<sub>2</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>",Npt,9.EH.05,Monoclinic,Domatic,m,m,Black; deep red-brown in thin fragments,{110} good,5-6,Brown to red brown,3.19 - 3.23,Vitreous,Prismatic or tabular,,"Neptunite is a silicate mineral with the formula KNa2Li(Fe2+, Mn2+)2Ti2Si8O24. With increasing manganese it forms a series with mangan-neptunite. Watatsumiite is the variety with vanadium replacing the titanium in the formula."
Nichromite,https://en.wikipedia.org/wiki/Nichromite,Spinel group,"(Ni,Co,Fe)(Cr,Fe,Al)2O4","(Ni,Co,Fe)(Cr,Fe,Al)<sub>4</sub>",,4.BB.05,Isometric,Hexoctahedral,m3m,4/m 3 2/m,"Dark green, black",,6-6+1⁄2,Greyish green,5.10,Metallic,"Granular, anhedral to subhedral",,"Nichromite (Ni,Co,Fe)(Cr,Fe,Al)2O4 is a black cubic metallic mineral and member of the spinel group.  Nichromite was originally reported from the Bon Accord nickel deposit in Barberton District, South Africa.  Occurring naturally in a nickel deposit, nichromite is named for chromite with dominant nickel."
Nickel,https://en.wikipedia.org/wiki/Nickel,,,,,,,,,,,,4.0 ,,,,,,
Nickeline,https://en.wikipedia.org/wiki/Nickeline,Arsenide mineral,nickel arsenide (NiAs),nickelarsenide(NiAs),Nc,2.CC.05,Hexagonal,Dihexagonal dipyramidal,6/mmm,6/m 2/m 2/m,Pale copper red with blackish tarnish. white with strong yellowish pink hue on polished section strongly anisotropic,"{1010} Imperfect, {0001} Imperfect",5 - 5.5,brownish black,7.8,metallic,"Massive columnar to reniform, rarely as distorted, horizontally striated, {1011} terminated crystals",,"Nickeline or niccolite is a mineral consisting primarily of nickel arsenide (NiAs). The naturally-occurring mineral contains roughly 43.9% nickel and 56.1% arsenic by mass, but composition of the mineral may vary slightly."
Niedermayrite,https://en.wikipedia.org/wiki/Niedermayrite,Sulfate mineral,Cu4Cd(SO4)2(OH)6·4H2O,Cu<sub>4</sub>Cd(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,Ndm,7.DD.30,Monoclinic,Prismatic,2/m,2/m,Bluish green,Perfect on {010},,White,3.292,Vitreous,Platy euhedral crystals and as green crusts,,Niedermayrite is a rare hydrated copper cadmium sulfate hydroxide mineral with formula: Cu4Cd(SO4)2(OH)6·4H2O. It crystallizes in the monoclinic system and occurs as encrustations and well formed vitreous blue-green prismatic crystals. It has a specific gravity of 3.36.
Niningerite,https://en.wikipedia.org/wiki/Niningerite,Sulfide minerals,MgS,MgS,Nng,2.CD.10,Cubic,Hexoctahedral,m3m,4/m 3 2/m,grey,,3+1⁄2 - 4,,,metallic,,,Niningerite is a magnesium-iron-manganese sulfide mineral with the chemical formula MgS that is found in enstatite chondrite meteorites.  Niningerite is the magnesium-dominant analog of keilite.  This mineral is named after Harvey H. Nininger.
Nissonite,https://en.wikipedia.org/wiki/Nissonite,Phosphate mineral,Cu2Mg2(PO4)2(OH)2·5H2O,Cu<sub>2</sub>Mg<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·5H<sub>2</sub>O,Nss,8.DC.05,Monoclinic,Prismatic,2/m,2/m,,,,,,,,,"Nissonite is a very rare copper phosphate mineral with formula: Cu2Mg2(PO4)2(OH)2·5H2O. It crystallizes in the monoclinic crystal system typically as crusts, tabular crystals, and diamond-shaped crystals. The color is blue-green.  It has a light green streak, a Mohs hardness of 2.5 and a specific gravity of 2.73. Cleavage is {100} distinct."
Niter,https://en.wikipedia.org/wiki/Niter,"Nitrates, oxide mineral",KNO3,KNO<sub>3</sub>,Nit,5.NA.10,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,White,Very good on {001}; good on {010},2,White,2.10 (calc.),Vitreous,Druse or acicular,,
Nitratine,https://en.wikipedia.org/wiki/Nitratine,Nitrate minerals,NaNO3,NaNO<sub>3</sub>,Ntt,5.NA.05,Trigonal,Hexagonal scalenohedral,3m,3 2/m,"Colorless, White, Gray, Yellowish, Brownish",{1011} Perfect,1.5 - 2,White,2.26,Vitreous (Glassy),Granular - Generally occurs as anhedral to subhedral crystals in matrix; Massive - Uniformly indistinguishable crystals forming large masses,,"Nitratine or nitratite, also known as cubic niter (UK: nitre), soda niter or Chile saltpeter (UK: Chile saltpetre), is a mineral, the naturally occurring form of sodium nitrate, NaNO3. Chemically it is the sodium analogue of saltpeter. Nitratine crystallizes in the trigonal system, but rarely occurs as well formed crystals. It is isostructural with calcite. It is quite soft and light with a Mohs hardness of 1.5 to 2 and a specific gravity of 2.24 to 2.29. Its refractive indices are nω=1.587 and nε=1.336."
Nobleite,https://en.wikipedia.org/wiki/Nobleite,Phylloborates,CaB6O9(OH)2·3H2O,CaB<sub>6</sub>O<sub>9</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O,Nob,6.FC.05,Monoclinic,Prismatic,2/m,2/m,,,,,,,,,"Nobleite is a rare borate mineral with the chemical formula  CaB6O9(OH)2·3H2O. It was discovered in 1961, in Death Valley, California, and is named for Levi F. Noble, a USGS geologist, in honor of his contributions to the geology of the Death Valley region."
Nontronite,https://en.wikipedia.org/wiki/Nontronite,Phyllosilicates Smectite group,"(CaO0.5,Na)0.3Fe3+2(Si,Al)4O10(OH)2·nH2O","(CaO<sub>0.5</sub>,Na)<sub>0.3</sub>Fe<sup>3+</sup><sub>2</sub>(Si,Al)<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>·nH<sub>2</sub>O",Non,9.EC.40,Monoclinic,,,,"Yellow, olive-green, green, orange, brown",Perfect basal,1.5 to 2,Colorless,2.3,Earthy to dull,Earthy masses,,"Nontronite is the iron(III) rich member of the smectite group of clay minerals.  Nontronites typically have a chemical composition consisting of more than ~30% Fe2O3 and less than ~12% Al2O3 (ignited basis). Nontronite has very few economic deposits like montmorillonite. Like montmorillonite, nontronite can have variable amounts of adsorbed water associated with the interlayer surfaces and the exchange cations."
Norbergite,https://en.wikipedia.org/wiki/Norbergite,Nesosilicates,"Mg3(SiO4)(F,OH)2","Mg<sub>3</sub>(SiO<sub>4</sub>)(F,OH)<sub>2</sub>",Nrb,9.AF.40,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Tan, yellow, yellow-orange, orange-brown, pink with purplish tint, white",,6-6.5,White,3.177,Vitreous to resinous,"Granular, tabular crystals rare",,"Norbergite is a nesosilicate mineral with formula Mg3(SiO4)(F,OH)2. It is a member of the humite group."
Normandite,https://en.wikipedia.org/wiki/Normandite,Mineral,"NaCa(Mn2+,Fe2+)(Ti,Nb,Zr)Si2O7(O,F)2","NaCa(Mn<sup>2+</sup>,Fe<sup>2+</sup>)(Ti,Nb,Zr)Si<sub>2</sub>",Nmd,,Monoclinic,,,,,,5 - 6,,3.48 - 3.5,,,,"Normandite is a brittle orange brown sorosilicate mineral discovered in 1997 by Charles Normand (born 1963), of Montreal. Normandite occurs in Khibiny Massif, Kola, Russia; in Poudrette quarry, Mont-Saint-Hilaire, Quebec (type locality) and Tenerife, Canary Islands. It is found in nepheline syenite and in miarolitic cavities in nepheline syenite, associated with nepheline, albite, microcline, aegirine, natrolite, catapleiite, kupletskite, eudialyte, cancrinite, villiaumite, rinkite, and donnayite-(Y)."
Northupite,https://en.wikipedia.org/wiki/Northupite,Carbonate minerals,Na3Mg(CO3)2Cl,Na<sub>3</sub>Mg(CO<sub>3</sub>)<sub>2</sub>Cl,Nup,5.BF.05,Isometric,Diploidal,m3,2/m3,,,3+1⁄2 - 4,,2.380–2.407,,"Octahedral crystals; globular, massive",,"Northupite is an uncommon evaporite mineral, with the chemical formula Na3Mg(CO3)2Cl. It occurs as colourless to dark grey or brown octahedral crystals and as globular masses. In synthetic material it forms a series with tychite (Na6Mg2(CO3)4SO4)."
Nosean,https://en.wikipedia.org/wiki/Nosean,Sodalite - (Feldspathoid),Na8Al6Si6O24(SO4),Na<sub>8</sub>Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>(SO<sub>4</sub>),Nsn,9.FB.10,Cubic,Hextetrahedral,43m,4 3m,,,,,,,,,"Nosean, also known as noselite, is a mineral of the feldspathoid group with formula: Na8Al6Si6O24(SO4). H2O. It forms isometric crystals of variable color: white, grey, blue, green, to brown. It has a Mohs hardness of 5.5 to 6 and a specific gravity of 2.3 to 2.4. It is fluorescent. It is found in low-silica igneous rocks. There is a solid solution between nosean and hauyne, which contains calcium."
Nsutite,https://en.wikipedia.org/wiki/Nsutite,Oxide minerals,Mn4+1−xMn2+xO2-2x(OH)2x where x = 0.06-0.07,Mn<sup>4+</sup><sub>1−x</sub>Mn<sup>2+</sup><sub>x</sub>O<sub>2-2x</sub>(OH)<sub>2x</sub>wherex=0.06-0.07,Nsu,4.DB.15c,Hexagonal,Unknown space group,,,,,,,,,,,"Nsutite is a manganese oxide mineral with formula: (Mn4+1−xMn2+xO2-2x(OH)2x where x = 0.06-0.07). It is found in most large manganese deposits and was first discovered in Nsuta, Ghana. Since then, it has been found worldwide. Nsutite is a dull mineral with a hardness of 6.5-8.5 and an average specific gravity of 4.45. Nustite is used as a cathode in zinc–carbon batteries, but synthetic manganese oxide is gradually replacing it."
Nuragheite,https://en.wikipedia.org/wiki/Nuragheite,Molybdate minerals,Th(MoO4)2·H2O,Th(MoO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,Nur,,Monoclinic,Prismatic,2/m,2/m,Colorless,"{100}, perfect",,White,"5.15 (calc., approximated)",Pearly adamantine,Thin tablets,,"Nuragheite is a rare natural thorium molybdate, formula Th(MoO4)2·H2O, discovered in Su Seinargiu, Sarroch, Cagliari, Sardegna, Italy. This locality is also a place of discovery of the other thorium molybdate - ichnusaite, which is a trihydrate."
Nyerereite,https://en.wikipedia.org/wiki/Nyerereite,Carbonate mineral,Na2Ca(CO3)2,Na<sub>2</sub>Ca(CO<sub>3</sub>)<sub>2</sub>,Nye,5.AC.10,Orthorhombic,Pyramidal,mm2,mm2,Colorless,,,White,2.541,,"Platey, pseudo-hexagonal",,"Nyerereite is a very rare sodium calcium carbonate mineral with formula Na2Ca(CO3)2. It forms colorless, platey pseudohexagonal orthorhombic crystals that are typically twinned. It has a specific gravity of 2.54 and indices of refraction of nα=1.511, nβ=1.533 and nγ=1.535. Nyerereite is not stable in contact with the atmosphere and rapidly breaks down. Collection specimens must be kept in a sealed argon environment."
Okenite,https://en.wikipedia.org/wiki/Okenite,Phyllosilicate,CaSi2O5·2H2O,CaSi<sub>2</sub>O<sub>5</sub>·2H<sub>2</sub>O,Oke,9.EA.40,Triclinic,Pinacoidal,1,1,"White, may show slightly yellow or blue tint",Perfect on {001},4+1⁄2-5,White,2.28 - 2.33,"Vitreous, pearly","Bladed crystals, typically fibrous, clusters of curved crystals and radial balls",,"Okenite (CaSi2O5·2H2O) is a silicate mineral that is usually associated with zeolites. It most commonly is found as small white ""cotton ball"" formations within basalt geodes.  These formations are clusters of straight, radiating, fibrous crystals that are both bendable and fragile. It also belongs to the family of the calcium silicate hydrates (C-S-H) commonly found in hardened cement paste. In cement chemist notation (CCN) it is noted as CaO·2SiO2·2H2O and abbreviated as CS2H2."
Oldhamite,https://en.wikipedia.org/wiki/Oldhamite,Sulfide mineral,"(Ca,Mg)S","(Ca,Mg)S",Old,2.CD.10,Cubic,Hexoctahedral,m3m,4/m 3 2/m,Pale chestnut-brown,Good on {001},4,,2.58,Sub-metallic,"Crystal nodules, anhedral grains",,"Oldhamite is a calcium magnesium sulfide mineral with the chemical formula (Ca,Mg)S. Ferrous iron may also be present in the mineral resulting in the chemical formula (Ca,Mg,Fe)S. It is a pale to dark brown accessory mineral in meteorites. It crystallizes in the cubic crystal system, but typically occurs as anhedral grains between other minerals."
Olgite,https://en.wikipedia.org/wiki/Olgite,,,,,,,,,,,,,,,,,,"Olgite is a rare blue-green colored phosphate mineral series that forms microscopic prismatic crystals that are trigonal in structure. Its chemical formula is Na(Sr,Ba)PO4."
Olivenite,https://en.wikipedia.org/wiki/Olivenite,Arsenate minerals,Cu2AsO4OH,Cu<sub>2</sub>AsO<sub>4</sub>OH,Oli,8.BB.30,Monoclinic,Prismatic,2/m,2/m,"Olive green to yellow or brown, gray-green, grayish white","{101}, {110}, indistinct",3,Olive-green to brown,4.46,"Adamantine to vitreous, pearly to silky if fibrous","Fibrous, globular and reniform; granular, earthy, massive",,"Olivenite is a copper arsenate mineral, formula Cu2AsO4OH. It crystallizes in the monoclinic system (pseudo-orthorhombic), and is sometimes found in small brilliant crystals of simple prismatic habit terminated by domal faces. More commonly, it occurs as globular aggregates of acicular crystals, these fibrous forms often having a velvety luster; sometimes it is lamellar in structure, or soft and earthy."
Olivine,https://en.wikipedia.org/wiki/Olivine,NesosilicateOlivine groupOlivine series,"(Mg,Fe)2SiO4","(Mg,Fe)<sub>4</sub>",Ol,9.AC.05,Orthorhombic,,,,Yellow to yellow-green,Poor,6.5–7,colorless or white,3.2–4.5,Vitreous,Massive to granular,,"The mineral olivine (/ˈɒl.ɪˌviːn/) is a magnesium iron silicate with the chemical formula (Mg,Fe)2SiO4. It is a type of nesosilicate or orthosilicate. The primary component of the Earth's upper mantle, it is a common mineral in Earth's subsurface, but weathers quickly on the surface. For this reason, olivine has been proposed as a good candidate for accelerated weathering to sequester carbon dioxide from the Earth's oceans and atmosphere, as part of climate change mitigation. Olivine also has many other historical uses, such as the gemstone peridot (or chrysolite), as well as industrial applications like metalworking processes."
Olmiite,https://en.wikipedia.org/wiki/Olmiite,Mineral,CaMn2+[SiO3(OH)](OH),CaMn<sup>2+</sup>[SiO<sub>3</sub>(OH)](OH),Olm,09.AF.90,Orthorhombic,Dipyramidal,,mmm(2/m 2/m 2/m,"White, brown, pale to intense reddish pink",None,5 - 5.5,White,3.05,Vitreous,,,"Olmiite is a rare calcium-manganese silicate that was named after an Italian mineralogist called Filippo Olmi. It was approved by the IMA in 2006, being first published in 2007, which makes it a relatively newly discovered mineral. Around 2001, a large amount of specimens believed to be poldervaartite was discovered at the N'Chwaning II mine, which is near the Wessels mine, where the latter was discovered. Only later were the researchers able to determine though their investigations that the two minerals are different, as they are visually indistinguishable. Until Renato Pagano acquired and examined the specimens, seemingly no specific investigation was carried out. Olmiite has been misidentified not only once, but twice. The cream-colored specimens were at first thought to be baryte by the mine geologist."
Omphacite,https://en.wikipedia.org/wiki/Omphacite,Pyroxene,"(Ca,Na)(Mg,Fe2+,Al)Si2O6","(Ca,Na)(Mg,Fe<sup>2+</sup>,Al)Si<sub>2</sub>O<sub>6</sub>",Omp,9.DA.20,Monoclinic,Prismatic,2/m,2/m,Green to dark green; colorless to pale green in thin section,"Good on {110}, {110} ^ {110} ≈87°; parting on {100}",5-6,Greenish white,3.16-3.43,Vitreous to silky,"Rarely in rough crystals; anhedral, granular to massive",,"Omphacite is a member of the clinopyroxene group of silicate minerals with formula: (Ca, Na)(Mg, Fe2+, Al)Si2O6. It is a variably deep to pale green or nearly colorless variety of clinopyroxene. It normally appears in eclogite, which is the high-pressure metamorphic rock of basalt. Omphacite is the solid solution of Fe-bearing diopside and jadeite. It crystallizes in the monoclinic system with prismatic, typically twinned forms, though usually anhedral.  Its space group can be P2/n or C2/c depending on the thermal history.  It exhibits the typical near 90° pyroxene cleavage. It is brittle with specific gravity of 3.29 to 3.39 and a Mohs hardness of 5 to 6."
Oneillite,https://en.wikipedia.org/wiki/Oneillite,"Silicate mineral, Cyclosilicate","Na15Ca3Mn3Fe3Zr3Nb(Si25O73)(O,OH,H2O)3(OH,Cl)2 (original form)",Na<sub>2</sub>,One,9.CO.10,Trigonal,Pyramidal,3,3,Yellowish brown,None,5-6,White,,Vitreous,anhedral grains,,"Oneillite is a rare mineral of the eudialyte group with the chemical formula Na15Ca3Mn3Fe2+3Zr3NbSiO(Si3O9)2(Si9O27)2(O,OH,H2O)3(OH,Cl)2. The formula is based on the original one but extended to show the presence of cyclic silicate groups and domination of Si at the M4 site. The mineral has lowered symmetry (space group R3, instead of more specific for the group R3m one) due to Ca-Mn ordering.  Similar feature is displayed by some other eudialyte-group members: aqualite, labyrinthite, raslakite, and voronkovite. Oneillite is strongly enriched in rare earth elements (REE, mainly cerium), but REE do not dominate any of its sites."
Oosterboschite,https://en.wikipedia.org/wiki/Oosterboschite,Selenide minerals,"(Pd,Cu)7Se5","(Pd,Cu)<sub>5</sub>",Oos,2.BC.10,Orthorhombic,Unknown space group,,,,,5,Black,,Metallic,Anhedral grains,,"Oosterboschite is a rare selenide mineral with the formula (Pd,Cu)7Se5. It crystallises in the orthorhombic crystal system. It has a creamy yellow colour and a Moh's hardness of 5. It is often found as grains with no clear shape. The crystals are opaque and often no bigger than 0.4 mm."
Oppenheimerite,https://en.wikipedia.org/wiki/Oppenheimerite,Sulfate mineral,Na2(UO2)(SO4)2•3H2O,Na<sub>2</sub>(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>•3H<sub>2</sub>O,Ohm,,Triclinic,Pinacoidal,1,1,Pale greenish-yellow,"{110}, {011} and {101}, good",2.5,White,,Vitreous,prismatic,,"Oppenheimerite is a very rare uranium mineral with the formula Na2(UO2)(SO4)2•3H2O. Chemically related minerals include fermiite, natrozippeite, plášilite, belakovskiite and meisserite. Most of these uranyl sulfate minerals were originally found in the Blue Lizard mine, San Juan County, Utah, US. The mineral is named after American Theoretical physicist J. Robert Oppenheimer."
Ordoñezite,https://en.wikipedia.org/wiki/Ord%C3%B3%C3%B1ezite,Antimonate mineral,ZnSb2O6,ZnSb<sub>2</sub>O<sub>6</sub>,Ord,4.DB.10,Tetragonal,Ditetragonal dipyramidal,4/mmm,4/m 2/m 2/m,"Very light to very dark brown, colorless to pearl-gray, light yellowish olive to dark olive",,6.5,,6.635,Adamantine,Pyramidal crystals in drusy or stalactitic masses,,Ordoñezite or ordóñezite is a rare tetragonal zinc antimonate mineral with chemical formula: ZnSb2O6.
Oregonite,https://en.wikipedia.org/wiki/Oregonite,Sulfide minerals,Ni2FeAs2,Ni<sub>2</sub>FeAs<sub>2</sub>,Ore,2.BB.05,Hexagonal,Unknown space group,,,white,,5,,,metallic,,,"Oregonite, Ni2FeAs2 is a nickel iron arsenide mineral first described from Josephine Creek, Oregon, United States."
Orpiment,https://en.wikipedia.org/wiki/Orpiment,Sulfide mineral,As2S3,As<sub>2</sub>S<sub>3</sub>,Orp,2.FA.30,Monoclinic,Prismatic,2/m,2/m,Lemon-yellow to golden or brownish yellow,"Perfect on {010}, imperfect on {100};",1.5–2,Pale lemon-yellow,3.49,"Resinous, pearly on cleavage surface",Commonly in foliated columnar or fibrous aggregates; may be reniform or botryoidal; also granular or powdery; rarely as prismatic crystals,,"Orpiment is a deep-colored, orange-yellow arsenic sulfide mineral with formula As2S3. It is found in volcanic fumaroles, low-temperature hydrothermal veins, and hot springs and is formed both by sublimation and as a byproduct of the decay of another arsenic sulfide mineral, realgar. Orpiment takes its name from the Latin auripigmentum (aurum, ""gold"" + pigmentum, ""pigment"") because of its deep-yellow color."
Orthoclase,https://en.wikipedia.org/wiki/Orthoclase,Silicate mineral,KAlSi3O8,KAlSi<sub>3</sub>O<sub>8</sub>,Or,9.FA.30,Monoclinic,Prismatic,2/m,2/m,"Colorless, greenish, greyish yellow, white, pink",Has perfect cleavage on {001} and good cleavage on {010}. Cleavages intersect at 90°. It can be difficult to see cleavage in thin section due to orthoclase's low relief.,6 (defining mineral),White,2.55–2.63,"Vitreous, pearly on cleavage surfaces",Can be anhedral or euhedral. Grains are commonly elongate with a tabular appearance.,,"Orthoclase, or orthoclase feldspar (endmember formula KAlSi3O8), is an important tectosilicate mineral which forms igneous rock. The name is from the Ancient Greek for ""straight fracture"", because its two cleavage planes are at right angles to each other. It is a type of potassium feldspar, also known as K-feldspar. The gem known as moonstone (see below) is largely composed of orthoclase."
Osarizawaite,https://en.wikipedia.org/wiki/Osarizawaite,"Sulfate minerals, alunite group",PbCuAl2(SO4)2(OH)6,PbCuAl<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Orz,7.BC.10,Trigonal,Hexagonal scalenohedral,3m,3 2/m,Greenish yellow,,3 - 4,,3.89 - 4.037,,,,Osarizawaite is a greenish yellow sulfate mineral with the chemical formula: PbCuAl2(SO4)2(OH)6. It has rhombohedral crystals.
Osmium,https://en.wikipedia.org/wiki/Osmium,,,,,,,,,,,,7.0 ,,,,,,
Osumilite,https://en.wikipedia.org/wiki/Osumilite,Cyclosilicate,"(K,Na)(Fe,Mg)2(Al,Fe)3(Si,Al)12O30","(K,Na)(Fe,Mg)<sub>30</sub>",Osm,9.CM.05,Hexagonal,Dihexagonal dipyramidal,6mmm,6/m 2/m 2/m,"Black, dark blue, dark brown, pink, gray",None,5 - 6,Blue-gray,2.62 - 2.64,Vitreous,Crystals tabular to prismatic also anhedral and massive,,Osumilite is a very rare potassium-sodium-iron-magnesium-aluminium silicate mineral. Osumilite is part of the milarite group (also known as the milarite-osumilite group) of cyclosilicates.
Otavite,https://en.wikipedia.org/wiki/Otavite,Carbonate minerals,CdCO3,CdCO<sub>3</sub>,Ota,5.AB.05,Trigonal,Hexagonal scalenohedral,3m,3 2/m,,,,,,,,,"Otavite is a rare cadmium carbonate mineral with the formula CdCO3. Otavite crystallizes in the trigonal system and forms encrustations and small scalenohedral crystals that have a pearly to adamantine luster. The color is white to reddish to yellow brown. Its Mohs hardness is 3.5 to 4 and the specific gravity is 5.04. Associated minerals include azurite, calcite, malachite, and smithsonite."
Ottrelite,https://en.wikipedia.org/wiki/Ottrelite,Nesosilicate,"(Mn,Fe,Mg)2Al4Si2O10(OH)4","(Mn,Fe,Mg)<sub>4</sub>",,09.AF.85,,,,,Pistachio green,{001} perfect; {110} likely,6-7,"Greenish, grayish",3.50,Vitreous to nearly adamantine on cleavages,Granular,,"Ottrelite is a form of chloritoid. Its empirical formula is (Mn,Fe,Mg)2Al4Si2O10(OH)4."
